Id,SalePrice
1461,125030.14465710944
1462,153785.86666485027
1463,184676.85312253953
1464,172199.17709512857
1465,205617.00206415175
1466,180684.21771849552
1467,156234.88419639092
1468,170378.1631533919
1469,184374.87132352532
1470,125841.00219986796
1471,187335.5819514072
1472,102138.87407442731
1473,95226.33326100859
1474,154092.97179998254
1475,140969.5276988778
1476,422972.99756632466
1477,252932.90424539996
1478,309914.3835906178
1479,220221.9015297481
1480,439862.836087945
1481,321064.71861632273
1482,203914.26063769497
1483,164618.57843589928
1484,193733.3365624642
1485,180946.22565108328
1486,208111.9634206458
1487,305640.4145387454
1488,237717.94867894152
1489,230025.3669059019
1490,191497.05467434943
1491,191063.18285127194
1492,98339.03736106736
1493,165689.1743649604
1494,323868.0092032668
1495,314312.8353905893
1496,229442.15019531408
1497,199350.47030684678
1498,151560.26776609954
1499,153986.0969644753
1500,148387.34186553024
1501,168335.47999339344
1502,179939.62863545644
1503,358368.4939166697
1504,224716.78301282966
1505,221481.6341828492
1506,184943.96480946027
1507,167744.36522087865
1508,196626.18687339383
1509,166214.47388121148
1510,149502.80616801349
1511,171377.2564064961
1512,186066.77657901664
1513,160921.8118020154
1514,142834.48076157493
1515,184659.228263419
1516,160428.94485629862
1517,148468.93791617476
1518,121097.73238932497
1519,229994.22714758076
1520,135440.16648631508
1521,143228.90258108807
1522,161111.785954947
1523,116239.80778301721
1524,112404.47191609016
1525,107173.1805946
1526,116950.03198670996
1527,86042.9020149068
1528,130666.90064509014
1529,136363.0853584968
1530,172762.74307215205
1531,113208.98932959019
1532,108188.09700944634
1533,141543.59440318556
1534,118262.07441674305
1535,149403.33011765272
1536,108739.56602342428
1537,65073.21683333179
1538,154038.82269195776
1539,224280.1826115494
1540,110952.93645529453
1541,163096.6933109708
1542,156970.4230554746
1543,200365.33600893884
1544,77751.35708479509
1545,88157.0022226388
1546,113370.20365670185
1547,138985.30059641722
1548,145074.3056919556
1549,121785.88225715076
1550,156611.68651600037
1551,113082.90711693959
1552,153789.1089512162
1553,142289.18128983967
1554,105524.39971262413
1555,156862.68809723767
1556,92960.71098482066
1557,141412.06242112035
1558,89785.89968824822
1559,108285.18872252958
1560,125891.91237578921
1561,153218.5132721045
1562,130533.21604644753
1563,132943.53733669623
1564,161903.15994959115
1565,158201.1474449727
1566,203636.21001404512
1567,72396.58335569636
1568,213982.12752837344
1569,148730.13878279715
1570,137948.57502803014
1571,138903.23414268869
1572,143434.2440606744
1573,242798.27614045673
1574,70782.69800535373
1575,192080.33165211265
1576,194810.16544646036
1577,225072.58875249012
1578,172428.22447926714
1579,146189.27353040763
1580,187795.45013198198
1581,139772.2162741216
1582,127950.2645078844
1583,333647.33927609934
1584,241960.58550393436
1585,140284.0285593794
1586,61951.155155380846
1587,112486.18124247294
1588,151474.06746426562
1589,93091.44225614426
1590,129512.10421366051
1591,108700.53844615434
1592,111939.4408812349
1593,115590.83730061892
1594,142835.13282426543
1595,106015.76313356771
1596,228870.49118493486
1597,137299.12747999356
1598,200189.62372388638
1599,205710.53639621713
1600,215259.82778144575
1601,94429.47604658584
1602,125279.5201929706
1603,93780.87158771501
1604,274144.59621908807
1605,242937.7042799014
1606,160082.5548411624
1607,129112.4164185027
1608,224200.99038821761
1609,227028.18371675262
1610,163057.21005445486
1611,147370.82801187277
1612,155826.55841812876
1613,158119.39812163456
1614,115319.76618974535
1615,76872.63135155234
1616,76128.53330060806
1617,88558.3523095472
1618,128300.62191781671
1619,129498.49681979146
1620,136304.07015602695
1621,116333.95939682146
1622,150868.54135109333
1623,307128.8241319988
1624,204473.25188661553
1625,117806.48052346114
1626,176422.3919117882
1627,189037.99214918353
1628,267239.45777713205
1629,178706.60233812424
1630,358689.9287586373
1631,212507.06915626844
1632,242512.4082632609
1633,180077.3787849939
1634,179662.8655365192
1635,170942.5929054381
1636,155950.71495880262
1637,166900.0893594356
1638,218252.19199358445
1639,182731.97257430555
1640,233815.7590939778
1641,191263.83925939148
1642,227434.14847437124
1643,222003.85599524982
1644,231636.00623456383
1645,189685.4241140909
1646,149293.9710186721
1647,162672.9210847509
1648,138672.84734573768
1649,138241.7615151005
1650,122239.88397572366
1651,121331.42421861672
1652,97109.64480323288
1653,99052.45096996594
1654,147740.7317249949
1655,143095.49690678413
1656,146934.37399281067
1657,147541.6317814095
1658,148026.2355983109
1659,132295.7145138331
1660,153044.84533786576
1661,489328.7526898418
1662,410178.1534976931
